timestamp,x,y,z
0,5.34,-6.6,7.13
10,5.44,-5.99,5.76
20,5.41,-5.87,6.1
30,5.35,-5.46,6.77
40,5.23,-5.56,7.44
50,5.29,-5.97,7.31
60,5.22,-5.72,6.99
70,5.26,-5.73,6.92
80,5.21,-5.65,7.2
90,5.21,-5.66,7.4
100,5.25,-5.8,7.74
110,5.3,-6.93,8.99
120,5.19,-7.82,9.83
130,5.06,-7.63,9.22
140,5.16,-6.71,7.88
150,5.66,-5.89,7.3
160,5.72,-8.3,6.56
170,6.06,-8.33,6.9
180,5.74,-8.66,8.4
190,5.83,-10.09,9.02
200,5.95,-10.75,8.27
210,5.95,-9.36,7.71
220,6.4,-7.4,7.81
230,6.72,-6.07,8.88
240,6.86,-5.53,9.06
250,8.17,-5.07,8.88
260,8.0,-4.79,10.07
270,8.54,-4.64,11.82
280,7.92,-5.44,12.22
290,7.6,-5.71,12.28
300,7.15,-4.64,11.7
310,6.47,-2.71,10.85
320,7.18,-1.45,9.97
330,7.42,-0.57,9.56
340,7.24,0.78,8.18
350,6.83,1.93,5.48
360,7.87,2.01,3.67
370,7.85,1.47,3.81
380,7.6,2.32,5.41
390,6.64,3.09,6.03
400,5.49,3.36,6.79
410,4.72,4.3,7.14
420,4.71,5.28,6.94
430,4.23,6.19,6.62
440,4.81,6.28,4.64
450,4.67,6.3,3.1
460,5.34,4.65,1.58
470,5.07,3.16,2.13
480,4.83,2.41,3.16
490,4.57,1.63,3.9
500,4.02,1.1,4.62
510,3.69,0.71,5.42
520,3.51,0.53,6.37
530,3.44,0.02,6.91
540,3.21,-0.32,6.83
550,2.94,-0.37,5.85
560,2.92,-0.18,4.26
570,2.79,-0.45,2.76
580,3.09,-0.96,2.05
590,2.79,-1.36,2.6
600,2.99,-1.62,3.22
610,2.81,-1.23,4.44
620,2.59,-1.3,5.91
630,2.76,-2.08,7.15
640,2.96,-3.22,7.28
650,3.18,-4.05,6.26
660,3.76,-4.72,4.7
670,3.76,-5.14,4.35
680,3.55,-4.64,5.15
690,3.5,-2.63,6.38
700,3.62,-2.91,7.88
710,3.43,-4.38,9.31
720,4.1,-5.84,9.36
730,4.58,-7.78,8.76
740,5.32,-9.6,8.18
750,5.55,-10.16,8.59
760,5.41,-10.09,9.08
770,5.72,-9.71,9.15
780,5.99,-9.73,8.92
790,6.15,-10.26,9.0
800,6.33,-10.59,9.19
810,6.78,-10.93,8.99
820,7.09,-11.01,8.68
830,7.11,-10.56,8.63
840,6.82,-9.56,8.62
850,6.69,-8.3,8.94
860,6.91,-7.12,9.2
870,6.93,-6.16,9.49
880,6.73,-5.58,10.55
890,7.53,-5.14,10.69
900,7.22,-3.86,11.06
910,7.26,-2.13,10.97
920,7.71,-1.34,10.62
930,7.68,-1.52,11.07
940,8.12,-2.13,12.01
950,7.81,-1.67,13.38
960,7.54,0.14,13.94
970,7.45,1.1,13.46
980,7.37,0.67,13.22
990,6.71,0.07,13.75
1000,6.73,-0.17,13.62
