timestamp,x,y,z
0,6.9,-2.45,7.84
10,6.95,-2.49,8.03
20,6.99,-2.53,8.26
30,6.99,-2.48,8.32
40,6.99,-2.4,8.14
50,7.0,-2.39,7.88
60,6.98,-2.42,7.51
70,6.99,-2.48,7.32
80,6.98,-2.66,7.47
90,7.04,-2.84,7.34
100,7.1,-3.16,6.93
110,7.05,-3.33,6.72
120,7.06,-3.25,6.28
130,6.93,-2.92,5.97
140,6.71,-2.63,5.83
150,6.7,-2.55,5.7
160,6.91,-3.19,5.44
170,7.06,-4.02,5.27
180,7.15,-4.45,5.83
190,7.16,-4.69,6.47
200,7.15,-4.74,6.83
210,7.04,-4.61,6.52
220,6.84,-4.06,6.28
230,6.53,-3.46,5.92
240,6.08,-2.98,4.82
250,5.56,-2.6,4.31
260,5.19,-2.47,5.16
270,4.85,-3.04,6.1
280,4.96,-3.3,5.69
290,4.69,-2.4,6.7
300,3.88,-0.66,9.13
310,2.94,1.14,9.97
320,2.14,2.62,8.76
330,1.56,3.5,8.61
340,1.06,4.05,9.39
350,0.83,4.02,9.96
360,0.87,4.06,9.87
370,0.59,5.16,10.53
380,0.43,6.4,10.89
390,0.59,7.07,10.52
400,0.84,6.64,9.49
410,0.79,7.33,10.02
420,0.69,7.34,11.03
430,0.95,7.08,11.13
440,0.77,7.87,11.71
450,0.34,9.37,13.47
460,-0.27,10.99,14.99
470,-0.84,12.02,15.43
480,-0.9,12.59,13.64
490,-0.78,13.03,11.2
500,-0.9,14.07,9.55
510,-0.88,14.63,7.52
520,-0.54,12.89,5.73
530,-1.86,13.76,7.58
540,-2.9,17.47,9.06
550,-4.15,19.03,9.53
560,-3.86,17.92,7.65
570,-3.54,13.13,4.02
580,-4.26,12.56,-0.73
590,-5.98,13.95,-2.94
600,-7.58,14.61,-2.28
610,-9.11,15.33,-1.76
620,-10.24,15.08,-0.24
630,-11.27,13.56,1.95
640,-11.61,12.05,2.72
650,-11.6,9.58,4.05
660,-11.63,8.32,3.72
670,-12.16,7.53,3.84
680,-13.03,6.47,2.79
690,-13.69,4.47,1.81
700,-14.28,2.07,2.24
710,-14.95,-0.34,3.57
720,-14.98,-3.45,4.6
730,-12.69,-10.78,6.89
740,-10.14,-15.44,8.43
750,-8.22,-15.7,10.66
760,-7.04,-13.69,13.7
770,-6.22,-11.51,14.23
780,-5.73,-9.26,13.31
790,-5.49,-7.29,12.5
800,-5.71,-5.48,11.99
810,-5.83,-3.95,11.37
820,-5.62,-3.61,10.49
830,-4.94,-4.7,9.93
840,-3.86,-7.08,11.29
850,-2.01,-9.69,14.13
860,-0.14,-12.24,16.17
870,1.45,-12.43,17.27
880,2.03,-9.73,19.77
890,1.98,-5.43,21.35
900,1.84,-2.29,20.61
910,1.72,-1.97,18.96
920,2.03,-1.35,16.29
930,2.09,0.16,17.25
940,1.67,1.48,20.57
950,0.71,4.22,22.35
960,-0.53,6.16,23.21
970,-2.24,8.05,23.29
980,-4.39,11.5,24.21
990,-3.83,10.46,17.3
1000,-7.1,11.74,10.27
