timestamp,x,y,z
0,3.16,-2.57,10.79
10,3.05,-3.22,10.56
20,2.93,-2.9,10.47
30,2.94,-2.57,10.43
40,2.84,-1.59,10.36
50,2.8,-0.76,10.34
60,2.91,-0.75,10.37
70,2.57,-0.52,10.75
80,2.67,-0.62,11.71
90,2.9,-1.61,12.36
100,2.94,-1.62,12.7
110,2.89,-0.47,12.36
120,3.11,0.82,12.44
130,2.83,1.68,12.24
140,2.97,2.69,12.14
150,3.55,2.53,12.66
160,3.76,1.6,12.97
170,3.79,0.89,12.7
180,3.95,0.15,12.29
190,4.44,-0.5,12.12
200,4.93,-1.56,11.66
210,5.02,-2.88,10.63
220,4.59,-2.83,9.56
230,4.58,-2.06,8.36
240,4.35,-1.36,8.15
250,4.37,-1.02,8.33
260,4.59,0.11,8.54
270,4.54,-1.0,8.96
280,4.79,-2.37,8.86
290,4.8,-3.2,8.95
300,4.28,-3.4,9.76
310,4.94,-3.61,8.88
320,5.31,-3.67,8.09
330,4.24,-3.25,8.4
340,5.09,-3.42,8.06
350,4.96,-3.89,8.2
360,5.09,-3.82,7.87
370,4.31,-3.26,8.27
380,4.08,-2.37,7.98
390,4.55,-2.23,7.24
400,4.47,-3.29,7.44
410,4.33,-3.97,7.86
420,5.15,-3.51,5.61
430,4.03,-3.68,7.04
440,4.3,-3.16,6.41
450,4.24,-3.21,6.58
460,3.5,-2.52,7.68
470,3.16,-2.67,8.35
480,4.29,-2.37,7.42
490,4.3,-2.74,5.7
500,4.04,-2.68,5.58
510,4.32,-2.95,5.43
520,4.11,-2.66,5.84
530,4.02,-2.39,6.24
540,3.84,-2.4,6.4
550,3.89,-2.29,6.17
560,3.75,-2.53,6.39
570,3.75,-2.78,6.88
580,3.74,-2.63,6.92
590,3.68,-2.3,6.79
600,3.44,-2.04,6.58
610,3.38,-2.04,6.29
620,3.08,-2.29,6.58
630,2.87,-2.29,6.69
640,2.96,-2.29,6.53
650,2.79,-2.08,7.02
660,2.48,-2.33,7.91
670,2.58,-2.33,7.92
680,2.4,-2.5,7.73
690,2.51,-2.33,7.13
700,2.28,-2.24,7.13
710,2.23,-2.37,7.51
720,2.33,-2.48,7.84
730,2.48,-2.53,8.24
740,2.41,-2.79,8.7
750,2.16,-2.71,8.88
760,2.35,-2.62,8.66
770,2.36,-2.23,8.46
780,2.53,-1.94,8.52
790,2.81,-1.63,8.88
800,3.06,-1.26,8.86
810,3.05,-1.09,9.24
820,3.77,-1.03,9.2
830,3.78,-1.12,9.88
840,4.29,-1.27,10.17
850,4.53,-1.45,10.86
860,5.03,-1.3,11.04
870,5.19,-0.95,11.01
880,5.39,-0.66,11.1
890,5.62,-0.74,11.46
900,6.06,-0.97,11.41
910,6.05,-1.17,11.65
920,6.25,-1.78,11.86
930,6.3,-2.01,12.04
940,6.66,-2.39,12.03
950,6.83,-2.76,11.97
960,6.51,-3.23,12.4
970,6.97,-3.42,12.27
980,7.03,-3.61,12.27
990,7.0,-3.98,12.37
1000,7.09,-4.1,11.88
