timestamp,x,y,z
0,6.1,-1.55,10.26
10,6.06,-1.66,10.16
20,5.96,-1.42,10.13
30,5.99,-1.13,9.98
40,6.07,-0.93,10.0
50,6.16,-1.19,9.99
60,5.97,-1.79,10.17
70,5.82,-2.23,10.21
80,5.59,-2.64,10.69
90,5.42,-2.37,11.18
100,5.43,-1.77,11.52
110,5.36,-1.39,11.57
120,5.27,-1.08,11.44
130,5.22,-1.17,10.82
140,5.2,-1.25,9.76
150,5.3,-1.36,8.42
160,5.27,-1.48,7.44
170,5.27,-1.62,6.56
180,5.16,-1.44,6.15
190,5.13,-1.06,6.27
200,4.86,-0.57,7.22
210,4.64,-0.06,8.1
220,4.51,0.07,8.33
230,4.51,-0.09,7.71
240,4.47,-0.03,6.29
250,4.3,-0.09,4.82
260,4.14,-0.19,2.82
270,3.6,0.12,-0.45
280,3.0,0.06,-4.4
290,3.09,-0.0,-7.05
300,1.61,0.66,-5.49
310,0.2,1.58,-3.23
320,-1.83,2.96,-1.71
330,-4.04,5.43,-1.76
340,-6.15,8.0,-2.47
350,-9.18,10.12,-1.24
360,-11.48,11.7,0.94
370,-15.04,9.49,4.85
380,-16.0,4.54,7.0
390,-14.39,-3.82,10.7
400,-10.7,-11.99,14.53
410,-7.13,-15.26,16.98
420,-4.08,-16.9,17.97
430,-0.89,-18.31,15.63
440,1.15,-18.51,12.87
450,2.05,-16.98,11.72
460,1.64,-13.69,13.42
470,1.17,-12.87,17.95
480,1.83,-16.18,23.44
490,3.42,-22.04,28.73
500,2.5,-30.22,41.32
510,8.14,-30.14,28.12
520,5.32,-28.75,31.75
530,5.42,-27.16,32.07
540,3.66,-24.51,30.84
550,1.76,-21.08,28.19
560,-0.06,-17.77,25.68
570,-1.78,-14.9,22.97
580,-3.47,-11.6,20.42
590,-4.77,-8.97,17.77
600,-5.59,-6.73,15.21
610,-6.54,-5.59,13.38
620,-7.3,-4.05,10.7
630,-8.29,-2.38,8.62
640,-8.96,-0.92,6.73
650,-9.41,0.35,4.7
660,-9.68,2.05,3.33
670,-9.54,3.15,2.31
680,-9.02,4.48,1.61
690,-8.36,6.18,2.1
700,-7.7,7.75,3.38
710,-6.72,8.13,4.78
720,-5.63,7.53,5.88
730,-4.43,6.2,6.15
740,-3.34,4.62,5.75
750,-2.14,3.49,4.68
760,-0.83,2.92,3.57
770,0.01,3.0,3.04
780,0.71,2.95,2.66
790,1.6,2.61,1.9
800,3.06,2.15,0.42
810,3.82,1.47,-0.04
820,4.38,1.0,-0.22
830,5.09,1.26,-0.11
840,5.72,1.45,0.5
850,6.07,1.36,1.47
860,6.22,1.32,2.55
870,6.4,1.23,3.5
880,6.5,0.75,4.32
890,6.71,0.11,4.46
900,7.1,-0.4,4.29
910,7.5,-0.81,4.1
920,7.72,-1.26,4.14
930,7.75,-1.79,4.4
940,7.79,-2.14,4.42
950,7.52,-1.93,5.16
960,7.47,-1.98,5.42
970,7.47,-1.89,5.58
980,7.63,-1.9,5.76
990,7.69,-2.09,5.92
1000,7.72,-2.1,6.14
