timestamp,x,y,z
0,5.12,-0.1,9.03
10,5.15,-0.25,8.97
20,5.12,-0.18,9.01
30,5.14,-0.11,9.0
40,5.15,-0.22,8.99
50,5.16,-0.28,9.03
60,5.09,-0.33,9.02
70,5.05,-0.24,9.06
80,4.98,0.0,9.18
90,4.88,0.13,9.33
100,4.84,0.2,9.28
110,4.71,0.23,9.33
120,4.73,0.08,9.24
130,4.78,-0.02,8.92
140,4.68,-0.07,8.9
150,4.58,0.24,8.98
160,4.45,0.53,9.14
170,4.4,0.49,9.2
180,4.43,0.11,9.05
190,4.39,-0.53,8.9
200,4.63,-1.25,8.37
210,4.85,-1.96,7.73
220,5.04,-2.87,7.39
230,5.36,-4.23,6.9
240,5.95,-6.16,6.02
250,6.66,-8.43,4.48
260,7.91,-11.44,2.01
270,8.63,-14.99,-0.9
280,9.02,-19.93,-2.83
290,8.95,-24.15,-3.35
300,7.69,-26.24,-1.49
310,4.31,-23.61,3.04
320,0.54,-18.03,6.93
330,-1.71,-12.87,8.33
340,-4.06,-9.04,8.65
350,-5.96,-5.13,8.64
360,-7.17,-0.88,8.7
370,-7.41,3.54,9.62
380,-7.37,7.32,12.14
390,-7.14,9.88,15.01
400,-6.9,12.19,16.7
410,-6.64,14.16,16.66
420,-6.2,16.12,15.73
430,-5.79,17.57,15.56
440,-5.43,18.36,16.14
450,-4.94,17.82,16.47
460,-4.55,16.49,16.22
470,-4.36,15.78,15.75
480,-4.33,15.44,15.16
490,-4.72,15.49,15.56
500,-5.0,14.59,15.92
510,-5.14,13.04,15.43
520,-5.51,11.18,14.09
530,-5.79,9.0,12.4
540,-5.77,6.16,10.74
550,-5.63,3.59,9.88
560,-5.4,1.03,10.04
570,-4.92,-1.28,10.81
580,-4.31,-3.17,11.31
590,-3.54,-4.96,11.54
600,-2.79,-6.59,11.41
610,-1.88,-7.91,10.94
620,-0.83,-9.1,10.16
630,0.11,-10.02,9.4
640,0.79,-11.17,8.42
650,1.35,-12.33,7.35
660,1.88,-13.13,6.24
670,2.57,-13.4,5.12
680,3.24,-13.72,4.64
690,3.79,-14.66,4.84
700,4.61,-15.96,4.47
710,5.61,-17.36,3.45
720,6.57,-19.81,2.41
730,7.15,-22.15,2.58
740,6.79,-22.43,4.12
750,5.93,-20.9,5.85
760,4.71,-20.06,6.42
770,3.38,-19.54,5.79
780,1.57,-18.77,4.29
790,-1.05,-17.46,3.78
800,-3.66,-15.73,4.19
810,-6.46,-14.05,5.54
820,-8.68,-12.16,7.51
830,-10.57,-9.66,10.84
840,-12.2,-6.41,14.9
850,-13.12,-1.53,18.44
860,-13.51,3.75,19.45
870,-13.07,7.81,17.41
880,-11.99,10.66,15.37
890,-10.52,12.94,14.85
900,-9.08,13.49,15.92
910,-8.16,13.62,17.21
920,-7.46,13.01,16.76
930,-6.15,11.86,15.28
940,-5.69,9.65,12.93
950,-4.36,8.41,11.25
960,-3.61,7.95,10.89
970,-3.16,7.32,10.77
980,-2.79,6.62,10.63
990,-2.67,5.79,10.02
1000,-2.5,4.52,9.17
