timestamp,x,y,z
0,4.03,1.01,9.69
10,3.97,0.91,9.68
20,3.98,0.9,9.56
30,3.96,0.93,9.56
40,3.94,1.19,9.54
50,3.83,1.64,9.69
60,3.77,1.95,9.65
70,3.74,2.12,9.56
80,3.68,2.09,9.38
90,3.63,2.22,9.28
100,3.39,2.34,9.55
110,3.17,2.28,9.81
120,3.06,2.83,10.05
130,2.78,3.75,10.72
140,2.63,4.06,11.43
150,2.73,3.59,11.48
160,2.94,2.66,11.06
170,3.19,1.59,10.42
180,3.45,0.23,10.31
190,3.76,-1.19,10.5
200,4.03,-2.74,10.82
210,4.62,-5.27,11.02
220,5.21,-7.92,10.93
230,5.2,-8.85,10.91
240,4.73,-8.32,11.19
250,4.19,-7.72,12.18
260,3.97,-7.78,13.1
270,3.59,-7.53,13.18
280,3.27,-7.43,12.76
290,3.25,-8.17,11.88
300,3.25,-8.93,11.21
310,3.42,-9.74,11.25
320,3.18,-9.22,11.99
330,3.09,-8.49,12.0
340,3.07,-7.78,11.49
350,2.66,-6.28,10.91
360,2.15,-4.46,10.13
370,1.57,-2.67,9.67
380,0.91,-0.7,9.5
390,-0.05,1.67,9.85
400,-0.41,4.14,8.83
410,-1.05,6.37,8.24
420,-1.65,8.88,8.19
430,-1.88,11.3,7.81
440,-1.93,13.27,7.43
450,-1.78,14.54,6.86
460,-1.4,15.02,6.59
470,-1.04,15.48,5.99
480,-0.32,14.7,5.39
490,0.5,13.17,4.74
500,0.96,12.28,4.92
510,1.29,11.42,5.16
520,1.23,10.49,5.14
530,-1.62,13.69,11.65
540,1.31,6.91,9.33
550,0.56,8.5,5.5
560,-1.14,15.95,6.11
570,-1.63,17.74,9.7
580,-0.81,14.9,9.93
590,-0.06,12.6,7.91
600,0.47,10.63,6.74
610,0.79,9.16,6.63
620,0.54,8.8,6.94
630,0.28,8.82,7.47
640,-0.06,9.14,7.57
650,-0.26,8.98,7.04
660,-0.45,8.94,6.48
670,-0.48,8.2,6.35
680,-0.17,5.77,7.28
690,0.64,2.75,7.93
700,1.47,-0.27,9.22
710,2.31,-2.49,9.76
720,2.52,-3.65,10.34
730,2.59,-3.25,10.55
740,2.25,-2.53,11.3
750,2.13,-2.36,12.11
760,2.51,-3.62,13.48
770,3.27,-5.56,14.03
780,3.92,-7.72,14.02
790,4.16,-8.56,13.61
800,3.99,-8.58,13.43
810,4.0,-8.87,14.36
820,4.33,-9.92,15.91
830,4.7,-11.29,16.58
840,5.13,-12.75,17.35
850,5.47,-13.76,17.65
860,5.6,-14.25,17.18
870,5.31,-13.97,16.15
880,4.63,-12.66,15.21
890,3.88,-11.02,14.23
900,3.28,-9.87,12.83
910,2.77,-9.28,11.66
920,2.33,-8.56,11.99
930,2.03,-8.21,12.88
940,1.9,-8.65,13.18
950,1.57,-9.12,13.94
960,1.09,-9.29,14.4
970,0.45,-9.0,14.17
980,-0.55,-7.9,13.59
990,-1.87,-5.16,13.17
1000,-2.85,-2.07,12.39
