timestamp,x,y,z
0,2.77,-1.42,9.62
10,2.77,-1.45,9.65
20,2.77,-1.42,9.6
30,2.78,-1.44,9.58
40,2.81,-1.48,9.53
50,2.82,-1.56,9.5
60,2.82,-1.57,9.5
70,2.8,-1.52,9.55
80,2.77,-1.52,9.53
90,2.78,-1.5,9.57
100,2.77,-1.49,9.58
110,2.8,-1.48,9.5
120,2.78,-1.44,9.5
130,2.76,-1.39,9.59
140,2.79,-1.38,9.6
150,2.78,-1.41,9.57
160,2.8,-1.44,9.47
170,2.82,-1.47,9.43
180,2.82,-1.51,9.38
190,2.85,-1.58,9.44
200,2.84,-1.61,9.54
210,2.86,-1.6,9.57
220,2.85,-1.59,9.57
230,2.85,-1.54,9.56
240,2.84,-1.53,9.56
250,2.87,-1.51,9.53
260,2.89,-1.54,9.64
270,2.91,-1.59,9.66
280,2.92,-1.6,9.69
290,2.92,-1.54,9.65
300,2.9,-1.47,9.67
310,2.93,-1.44,9.69
320,2.96,-1.43,9.69
330,2.99,-1.46,9.65
340,3.03,-1.48,9.64
350,3.05,-1.49,9.6
360,3.05,-1.49,9.59
370,3.04,-1.43,9.72
380,3.06,-1.41,9.82
390,3.07,-1.4,9.82
400,3.05,-1.37,9.82
410,3.07,-1.32,9.75
420,3.04,-1.22,9.73
430,3.01,-1.1,9.79
440,2.99,-1.07,9.74
450,3.0,-1.06,9.57
460,2.97,-0.98,9.42
470,2.96,-0.84,9.34
480,2.89,-0.63,9.31
490,2.83,-0.41,9.22
500,2.75,-0.26,9.16
510,2.63,0.04,9.12
520,2.56,0.34,8.92
530,2.42,0.6,8.69
540,2.28,0.95,8.51
550,2.05,1.34,8.3
560,1.86,1.54,8.23
570,1.61,1.66,7.84
580,1.28,1.54,7.39
590,0.97,1.64,6.64
600,0.53,1.89,6.07
610,0.13,2.09,4.91
620,-0.26,2.09,3.73
630,-0.75,2.22,2.93
640,-1.16,2.01,2.3
650,-1.63,1.53,2.08
660,-2.04,0.5,2.22
670,-2.19,-0.97,2.55
680,-2.32,-2.55,4.11
690,-2.39,-4.11,6.22
700,-2.26,-5.81,7.78
710,-1.82,-7.86,8.71
720,-1.41,-9.23,8.87
730,-1.11,-10.41,9.01
740,-1.07,-10.76,9.83
750,-1.08,-10.62,11.37
760,-1.17,-10.0,13.16
770,-0.71,-9.5,14.0
780,-0.48,-9.01,14.53
790,-0.03,-8.27,14.04
800,0.45,-7.75,13.4
810,0.74,-7.38,13.18
820,1.08,-7.53,13.43
830,1.49,-7.53,14.15
840,1.41,-7.73,15.56
850,1.27,-7.92,16.56
860,0.88,-7.32,17.09
870,0.33,-5.2,17.36
880,-0.05,-3.38,17.84
890,-0.45,-2.33,18.26
900,-0.98,-1.4,18.36
910,-1.59,-0.49,17.94
920,-2.15,0.35,17.34
930,-2.72,2.13,16.75
940,-3.55,4.24,17.01
950,-4.27,6.1,17.09
960,-4.84,8.58,17.27
970,-5.41,11.12,17.25
980,-5.61,12.56,16.76
990,-5.87,12.29,15.41
1000,-6.12,11.4,14.36
