timestamp,x,y,z
0,3.99,0.24,9.57
10,4.01,0.26,9.5
20,3.96,0.34,9.52
30,3.96,0.29,9.56
40,3.98,0.38,9.56
50,3.98,0.35,9.69
60,4.0,0.28,9.78
70,4.01,0.1,9.71
80,4.02,-0.1,9.48
90,3.92,-0.23,9.41
100,3.86,-0.34,9.29
110,3.77,-0.34,9.26
120,3.67,-0.14,9.24
130,3.66,0.08,9.32
140,3.65,0.49,9.6
150,3.58,0.88,10.07
160,3.5,1.07,10.49
170,3.54,0.93,10.78
180,3.64,0.32,10.79
190,3.75,-0.59,10.92
200,3.73,-1.13,11.09
210,3.54,-1.18,11.21
220,3.2,-0.85,11.14
230,2.81,-0.34,10.9
240,2.47,0.15,10.8
250,2.12,0.67,10.25
260,1.73,0.79,9.14
270,1.45,0.19,7.99
280,1.61,-1.41,7.15
290,2.07,-3.62,7.18
300,2.6,-5.29,7.92
310,2.9,-5.78,9.01
320,2.56,-4.35,9.36
330,2.4,-3.37,9.07
340,2.77,-3.39,10.54
350,3.27,-4.01,12.08
360,3.81,-4.85,12.71
370,4.3,-5.65,12.84
380,4.12,-5.14,13.58
390,3.39,-3.3,14.33
400,2.29,-1.02,15.12
410,1.43,1.68,15.45
420,0.66,4.24,16.38
430,0.43,6.45,16.8
440,0.46,6.9,17.68
450,0.4,7.13,17.25
460,0.2,6.22,17.05
470,-0.77,5.98,16.96
480,-2.21,8.23,15.46
490,-4.53,11.99,19.48
500,-5.96,14.54,18.93
510,-7.15,16.44,16.9
520,-7.48,17.36,14.33
530,-8.02,17.99,11.71
540,-7.93,17.6,9.67
550,-7.77,15.91,9.63
560,-7.78,15.24,6.4
570,-8.26,14.7,5.71
580,-8.51,14.53,6.19
590,-8.04,13.54,5.29
600,-8.17,12.29,5.47
610,-8.5,11.51,4.25
620,-8.72,9.91,3.08
630,-8.95,8.29,1.26
640,-9.32,7.79,-1.04
650,-9.28,7.78,-4.89
660,-9.12,7.82,-7.5
670,-9.31,7.39,-8.22
680,-10.2,6.29,-7.25
690,-11.7,3.69,-3.69
700,-12.92,-2.36,1.17
710,-12.46,-8.03,7.16
720,-10.65,-13.25,5.83
730,-10.28,-14.43,3.61
740,-9.53,-15.64,2.04
750,-9.83,-16.75,1.74
760,-10.06,-16.33,3.55
770,-11.15,-14.6,5.78
780,-12.03,-14.1,9.11
790,-11.42,-16.96,13.58
800,-9.99,-22.91,14.77
810,-4.32,-32.64,16.79
820,-1.24,-28.18,9.54
830,-3.22,-28.47,11.93
840,-4.81,-25.57,18.59
850,-1.7,-20.72,20.38
860,-1.96,-23.07,21.69
870,-0.36,-23.52,20.05
880,1.55,-23.31,20.51
890,2.32,-23.33,22.42
900,3.28,-22.42,25.31
910,2.34,-18.1,24.84
920,2.62,-19.32,21.9
930,-2.8,-10.56,29.46
940,-5.13,-6.62,30.86
950,-8.5,-0.93,28.4
960,-10.92,7.2,26.95
970,-11.88,15.75,27.41
980,-10.61,19.36,23.93
990,-9.62,21.05,23.63
1000,-7.72,20.69,22.21
