timestamp,x,y,z
0,7.95,1.1,7.58
10,8.11,1.07,7.54
20,8.14,1.14,7.62
30,8.06,1.29,7.8
40,7.99,1.18,7.99
50,7.98,1.11,8.09
60,8.0,1.07,8.0
70,8.0,1.12,7.68
80,8.07,1.13,7.37
90,8.12,0.97,7.28
100,8.12,0.75,7.19
110,8.09,0.56,7.14
120,8.05,0.5,7.12
130,8.04,0.47,7.03
140,8.0,0.46,7.01
150,8.03,0.42,6.99
160,8.06,0.27,6.98
170,8.04,0.1,7.1
180,7.93,-0.07,7.16
190,7.81,-0.13,7.12
200,7.61,-0.03,6.92
210,7.38,-0.09,6.78
220,7.08,-0.07,6.49
230,6.63,0.19,6.47
240,6.38,0.08,5.77
250,6.07,-0.16,5.39
260,5.57,-0.43,5.2
270,5.03,-0.96,4.85
280,4.54,-1.45,4.51
290,4.07,-1.79,4.15
300,3.74,-1.91,3.91
310,3.42,-2.21,3.67
320,3.1,-2.29,2.94
330,2.82,-2.38,2.75
340,2.56,-2.16,2.61
350,2.45,-2.03,2.78
360,2.22,-1.78,3.19
370,1.8,-1.15,3.16
380,1.86,-0.87,2.79
390,2.0,-0.51,3.84
400,2.49,0.02,4.84
410,3.2,0.4,4.86
420,3.88,0.43,4.93
430,4.64,0.17,5.21
440,5.51,-0.78,6.41
450,6.29,-1.78,8.31
460,7.09,-2.76,9.69
470,7.98,-3.09,10.7
480,8.64,-2.5,11.89
490,9.42,-1.59,12.77
500,10.18,-1.0,13.72
510,10.83,-0.63,14.71
520,11.26,-0.42,15.73
530,11.54,-0.46,16.63
540,11.83,-1.08,17.32
550,12.16,-2.21,17.84
560,12.26,-3.43,18.05
570,12.12,-4.84,17.77
580,11.7,-5.97,17.11
590,11.06,-6.77,16.29
600,10.25,-6.91,15.28
610,9.3,-6.54,14.25
620,8.3,-5.7,13.08
630,7.32,-4.62,12.04
640,6.31,-3.6,11.14
650,5.34,-2.5,10.27
660,4.39,-1.26,9.49
670,3.48,0.18,8.83
680,2.74,1.51,8.12
690,2.14,2.78,7.55
700,1.63,3.9,7.05
710,1.23,4.78,6.56
720,0.84,5.66,6.24
730,0.51,6.56,6.08
740,0.4,7.3,5.95
750,0.43,7.59,6.04
760,0.62,7.45,6.12
770,0.87,7.1,5.91
780,1.22,6.56,5.59
790,1.65,5.9,5.26
800,2.09,5.17,4.99
810,2.5,4.52,4.62
820,2.88,4.14,4.37
830,3.26,3.67,4.39
840,3.72,3.21,4.64
850,4.24,2.84,4.84
860,4.7,2.51,4.81
870,5.3,1.91,4.81
880,5.85,0.92,4.83
890,6.42,-0.16,4.88
900,6.96,-1.23,5.14
910,7.51,-1.99,5.4
920,7.89,-2.18,5.78
930,8.16,-1.67,6.19
940,8.34,-1.03,6.51
950,8.54,-0.39,6.6
960,8.73,-0.08,6.67
970,8.84,-0.09,6.76
980,8.98,-0.34,6.87
990,9.08,-0.72,6.99
1000,9.18,-1.06,6.83
