timestamp,x,y,z
0,6.51,-2.57,7.84
10,6.54,-2.56,7.93
20,6.56,-2.57,8.03
30,6.6,-2.61,8.09
40,6.67,-2.56,8.11
50,6.83,-2.44,8.08
60,6.91,-2.37,8.16
70,6.98,-2.31,8.16
80,7.1,-2.11,8.14
90,7.21,-1.94,8.32
100,7.29,-1.75,8.61
110,7.42,-1.66,8.87
120,7.45,-1.68,9.13
130,7.42,-1.76,9.45
140,7.43,-1.76,9.5
150,7.35,-1.8,9.31
160,7.31,-1.78,8.68
170,7.35,-1.74,7.94
180,7.28,-1.75,7.65
190,7.25,-2.26,7.85
200,7.23,-3.23,8.07
210,7.45,-5.09,8.4
220,8.76,-8.59,8.47
230,10.14,-11.98,8.33
240,11.26,-14.86,7.88
250,12.6,-15.99,6.17
260,12.12,-16.19,5.36
270,10.61,-14.32,4.8
280,8.37,-10.67,4.82
290,6.68,-7.07,4.69
300,5.6,-4.0,4.12
310,4.81,-1.75,4.22
320,4.51,-0.52,4.01
330,4.4,0.36,3.65
340,4.27,1.14,3.24
350,4.0,1.71,2.82
360,3.3,2.34,2.51
370,2.29,3.53,1.95
380,0.99,5.71,1.38
390,-0.67,8.81,2.21
400,-2.76,11.89,2.77
410,-5.87,13.96,5.05
420,-9.0,14.06,7.41
430,-11.2,12.35,8.83
440,-12.72,8.8,9.08
450,-14.16,5.14,8.29
460,-16.11,2.72,7.5
470,-16.98,-0.57,7.53
480,-18.12,-4.19,10.57
490,-18.81,-6.73,15.11
500,-19.55,-9.48,19.78
510,-19.26,-15.26,20.98
520,-17.2,-25.26,19.17
530,-12.79,-39.62,15.91
540,-4.57,-54.59,6.71
550,3.8,-68.59,-2.99
560,18.96,-72.36,-19.86
570,10.22,-64.24,-12.67
580,3.17,-51.58,-6.97
590,-0.92,-40.7,-2.85
600,-2.87,-35.06,1.46
610,-2.79,-34.69,4.17
620,-3.29,-35.94,5.81
630,-4.23,-38.37,8.6
640,-6.36,-41.84,11.16
650,-12.35,-41.53,10.05
660,-26.96,-33.88,16.25
670,-32.63,-20.87,17.73
680,-35.15,-10.19,20.0
690,-33.54,-2.05,19.51
700,-29.53,2.2,18.07
710,-24.9,5.18,15.4
720,-21.13,8.27,11.89
730,-17.88,11.7,10.55
740,-14.83,14.88,10.31
750,-11.87,16.92,10.01
760,-9.82,17.24,11.3
770,-7.41,15.91,11.18
780,-5.05,12.47,10.49
790,-3.17,8.79,9.33
800,-1.6,6.97,7.69
810,-0.32,5.71,5.95
820,0.56,4.82,4.49
830,1.43,4.53,2.79
840,2.05,4.68,1.28
850,2.53,5.26,-0.05
860,2.74,5.68,-1.04
870,3.11,6.6,-1.96
880,3.37,7.01,-2.33
890,3.85,6.89,-2.42
900,4.39,6.05,-1.88
910,4.92,5.4,-1.09
920,5.33,5.2,0.1
930,5.62,5.2,1.27
940,5.78,5.19,2.35
950,5.83,5.16,3.15
960,5.82,5.12,3.46
970,5.8,4.99,3.61
980,6.06,4.94,3.33
990,6.17,4.96,3.37
1000,6.15,4.99,3.82
