timestamp,x,y,z
0,4.59,-0.87,9.27
10,4.58,-0.87,9.12
20,4.62,-0.95,8.93
30,4.69,-1.06,8.84
40,4.75,-1.21,8.98
50,4.77,-1.26,9.19
60,4.75,-1.25,9.41
70,4.77,-1.17,9.5
80,4.67,-1.12,9.6
90,4.66,-1.01,9.4
100,4.57,-1.04,9.43
110,4.45,-1.04,9.41
120,4.46,-0.93,9.12
130,4.35,-0.98,8.91
140,4.31,-0.94,8.81
150,4.17,-0.81,8.89
160,4.11,-0.8,8.84
170,4.1,-1.02,8.76
180,4.08,-1.1,8.61
190,4.12,-1.07,8.48
200,4.06,-1.01,8.5
210,3.85,-1.09,8.65
220,3.77,-1.01,8.48
230,3.69,-1.03,8.22
240,3.7,-1.09,8.02
250,4.01,-1.6,7.74
260,4.25,-2.73,7.58
270,4.62,-4.32,7.31
280,5.46,-6.51,6.34
290,6.35,-9.35,5.13
300,7.65,-12.75,4.11
310,9.07,-17.35,2.76
320,10.11,-21.19,1.55
330,9.45,-22.96,2.14
340,7.46,-20.53,4.65
350,5.01,-15.63,6.69
360,2.61,-11.74,8.1
370,0.72,-8.93,8.99
380,-0.67,-6.78,9.68
390,-1.44,-4.57,10.67
400,-2.06,-2.67,11.6
410,-2.97,-1.01,12.22
420,-3.8,1.01,12.27
430,-4.5,3.28,12.12
440,-4.84,5.34,12.43
450,-4.89,7.02,12.74
460,-4.88,7.86,12.77
470,-4.93,8.84,12.55
480,-4.88,10.26,11.95
490,-4.83,11.63,11.6
500,-4.79,11.43,12.13
510,-4.75,11.86,12.69
520,-4.86,11.8,13.1
530,-4.58,12.17,12.54
540,-4.77,12.33,12.66
550,-4.76,12.02,12.59
560,-4.78,11.53,12.62
570,-4.79,10.99,12.54
580,-4.89,10.29,12.36
590,-5.05,10.23,11.95
600,-5.3,9.84,11.54
610,-5.44,8.48,11.33
620,-5.55,6.74,11.57
630,-5.58,4.6,11.93
640,-5.66,2.48,12.16
650,-5.57,0.4,11.79
660,-5.29,-0.77,11.3
670,-5.33,-1.91,11.38
680,-4.64,-3.36,11.55
690,-3.89,-5.26,11.92
700,-3.21,-7.55,12.25
710,-2.23,-9.16,12.25
720,-1.23,-10.08,11.63
730,-0.17,-10.68,10.3
740,0.73,-11.36,8.91
750,1.47,-12.52,7.74
760,2.19,-13.49,7.18
770,2.9,-14.51,6.96
780,3.6,-15.17,6.76
790,4.36,-15.88,6.7
800,5.14,-16.44,6.74
810,6.03,-17.06,6.89
820,6.65,-17.88,7.15
830,6.94,-18.75,6.94
840,6.85,-19.38,6.52
850,6.21,-19.49,6.33
860,5.14,-18.1,6.29
870,3.82,-15.59,6.14
880,2.64,-13.24,5.86
890,1.42,-11.96,5.8
900,0.4,-11.95,5.38
910,-0.78,-12.07,4.5
920,-2.27,-11.52,4.2
930,-3.66,-10.02,5.48
940,-5.31,-8.26,8.13
950,-6.73,-6.2,11.0
960,-7.85,-3.56,13.22
970,-8.48,-0.68,14.11
980,-8.47,1.86,14.15
990,-8.33,4.32,14.83
1000,-8.0,6.5,16.14
