timestamp,x,y,z
0,6.63,-1.12,8.17
10,6.56,-1.05,8.28
20,6.56,-0.94,8.16
30,6.54,-0.98,8.14
40,6.43,-0.71,8.51
50,6.32,-0.16,9.01
60,6.1,0.84,9.91
70,5.88,1.51,10.82
80,5.74,1.91,11.19
90,5.47,3.98,11.94
100,4.35,6.25,13.55
110,3.85,6.54,13.79
120,3.45,4.5,13.56
130,3.49,1.09,10.68
140,4.1,-1.75,8.08
150,5.09,-3.21,6.75
160,5.37,-2.77,6.68
170,4.78,-1.35,8.93
180,3.73,-1.62,9.87
190,4.33,-3.01,7.7
200,5.26,-5.48,4.79
210,6.06,-8.08,2.69
220,6.99,-9.79,1.65
230,7.62,-10.52,1.41
240,7.75,-9.78,2.35
250,7.46,-8.86,3.89
260,7.24,-7.73,4.77
270,6.99,-7.54,5.12
280,7.29,-8.78,4.94
290,7.89,-10.26,4.74
300,8.17,-10.91,4.64
310,8.23,-10.85,4.93
320,8.37,-11.09,5.37
330,8.92,-12.19,6.47
340,9.34,-14.13,6.59
350,9.36,-16.59,6.04
360,9.59,-20.01,4.43
370,9.56,-24.71,2.36
380,7.69,-28.4,1.19
390,4.56,-29.65,1.04
400,-0.21,-28.35,3.33
410,-4.66,-25.32,4.95
420,-8.0,-21.35,6.4
430,-10.46,-18.09,9.28
440,-12.12,-15.27,10.88
450,-13.79,-9.76,10.58
460,-15.21,-3.83,11.13
470,-15.32,0.73,11.15
480,-15.68,4.28,13.9
490,-16.51,7.96,16.93
500,-16.94,14.94,18.33
510,-14.94,21.07,20.21
520,-15.1,28.37,22.68
530,-14.58,32.71,23.36
540,-13.91,32.66,22.35
550,-11.71,26.32,19.17
560,-11.53,19.31,18.9
570,-10.3,15.55,18.49
580,-9.79,13.07,16.84
590,-9.36,11.71,15.49
600,-9.36,11.6,13.18
610,-8.65,11.43,9.57
620,-9.3,11.82,5.83
630,-7.29,10.47,2.9
640,-5.26,5.81,3.99
650,-7.1,8.08,8.99
660,-7.56,7.09,12.58
670,-6.65,5.66,11.57
680,-7.77,5.54,13.65
690,-7.41,2.23,14.43
700,-7.68,0.6,14.16
710,-8.84,-0.51,12.9
720,-10.59,-3.44,11.34
730,-10.39,-11.48,12.47
740,-8.66,-21.14,14.15
750,-7.35,-26.39,11.3
760,-6.14,-28.64,2.45
770,-2.85,-30.05,-5.33
780,0.37,-31.96,-7.9
790,3.32,-33.92,-7.68
800,5.56,-35.04,-5.57
810,5.34,-32.2,-2.47
820,4.33,-28.83,1.89
830,3.8,-26.36,3.39
840,3.69,-25.97,4.99
850,5.41,-28.73,0.87
860,5.72,-32.74,0.45
870,4.38,-36.03,0.57
880,1.18,-35.59,-1.92
890,-3.04,-32.62,-3.6
900,-7.87,-26.94,0.13
910,-12.83,-22.4,10.67
920,-16.11,-17.13,11.13
930,-12.09,-15.45,16.53
940,-13.3,-15.38,15.19
950,-17.09,-8.91,17.5
960,-18.1,-0.26,18.53
970,-17.99,8.56,22.4
980,-15.99,18.22,26.36
990,-12.91,26.04,28.91
1000,-9.71,31.7,27.56
